Draw Number,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball 7,Ball 8,Ball 9,Ball 10,Ball 11,Ball 12,Ball 13,Ball 14,Ball 15,Ball 16,Ball 17,Ball 18,Ball 19,Ball 20,Bonus,Heads or Tails
266,2,5,8,54,14,32,35,62,71,70,41,44,50,74,23,46,47,11,29,49,reg,tails
267,61,78,54,6,26,28,68,30,79,66,13,38,48,52,74,25,47,72,80,24,reg,tails
268,54,78,46,68,42,48,75,4,5,19,67,22,41,34,30,70,40,80,26,51,x3,tails
269,5,32,28,29,12,2,61,48,24,80,76,45,60,33,14,16,72,39,35,79,x4,heads
270,10,60,18,33,37,65,28,5,40,55,23,3,64,59,75,69,2,27,24,36,reg,heads
271,66,55,29,65,56,25,34,5,43,54,71,23,9,28,41,69,32,80,33,17,reg,evens
272,65,27,42,51,38,8,48,18,55,41,28,66,60,80,73,46,49,52,77,26,x3,tails
273,37,51,39,43,55,19,56,1,77,64,20,49,30,73,69,72,57,59,11,13,reg,tails
274,34,26,52,40,5,6,13,24,9,43,63,60,11,69,70,19,2,66,51,46,reg,heads
275,60,68,27,9,17,43,75,80,50,41,36,20,7,35,3,48,67,32,12,61,x3,evens
276,68,74,25,39,18,17,47,59,76,33,78,16,2,35,69,72,10,15,12,66,reg,heads
277,56,31,49,59,4,44,73,48,38,60,2,62,33,61,22,77,29,8,78,40,reg,tails
278,71,13,18,11,45,77,80,2,51,69,35,17,79,26,23,65,10,56,76,59,reg,tails
279,59,27,30,66,1,5,14,42,64,55,39,67,56,10,52,15,60,77,78,48,x2,tails
280,20,10,70,48,59,8,63,79,32,77,56,9,11,35,51,43,2,1,76,53,x2,tails
281,31,3,17,35,74,38,19,71,77,46,8,39,5,55,48,4,36,53,49,50,x4,heads
282,46,50,76,64,2,70,30,15,11,22,67,56,75,29,62,25,36,28,69,63,x2,tails
283,65,46,76,15,7,18,13,67,27,35,31,29,28,59,74,68,41,45,3,14,x3,heads
284,54,5,2,57,51,64,34,31,12,59,38,71,18,78,55,7,72,25,69,21,reg,evens
285,14,30,67,2,46,70,21,63,71,35,34,18,41,22,20,39,58,11,5,79,reg,heads
286,31,9,30,77,33,78,42,48,43,19,13,52,80,2,1,58,51,69,21,35,reg,evens
287,43,48,52,22,64,7,9,60,72,5,76,26,25,75,65,38,10,50,67,62,x3,tails
288,60,15,72,18,61,53,13,24,29,57,78,59,58,48,9,47,56,34,14,21,x3,tails
289,31,42,66,38,6,8,37,76,50,3,40,44,5,52,15,58,17,68,18,35,reg,heads
290,2,8,71,74,65,18,14,79,73,10,39,29,22,55,16,51,26,34,46,80,reg,heads
291,43,38,45,74,59,47,36,1,21,13,19,10,18,15,69,8,25,16,50,31,x3,heads
292,75,61,5,32,23,53,27,33,28,77,1,36,65,62,71,56,67,40,9,11,reg,heads
293,18,7,64,15,9,48,67,13,61,76,74,29,37,14,12,71,2,49,19,39,x2,heads
294,11,18,68,43,35,72,62,33,54,29,23,77,74,40,47,69,24,42,67,59,reg,tails
295,50,35,55,17,20,1,18,37,47,71,44,9,79,70,14,13,58,45,62,74,x2,tails
296,14,47,49,13,73,15,79,6,50,17,19,65,39,38,55,31,11,5,8,32,reg,heads
297,51,28,37,76,42,22,64,65,9,27,15,43,50,60,58,19,78,61,10,56,x2,tails
298,77,8,66,4,38,33,12,22,52,42,5,74,21,28,35,37,55,17,24,68,reg,heads
299,52,35,21,63,60,27,71,58,1,44,37,36,45,11,30,64,51,74,57,23,x2,tails
